kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Metazoa	Gadidae	-1.02326226063192	-0.7424530674679	-2.351890979902	0.047570463929115	-1.06047585697235	-1.06999973848361	-0.193733870756691	0.644702991249472	-1.69383511915333	1.37089002588762	1.94539442631679	0.369858065558372	1.56288684820499	1.76293211366364	0.431415958557805
Metazoa	Phasianidae	0	0	0	0	0	0	0	0	0	0	0.519860385419959	-0.173286795139986	0	-0.866433975699932	0.519860385419959
Metazoa	Gobiidae	0	-1.0892284975197	0	-1.0892284975197	0	0	0.520209414914397	0	-1.0892284975197	0.990213044160133	0.00938379114840671	-0.396081316959758	1.54982883209556	0.990213044160133	-0.396081316959758
Metazoa	Chanidae	0	0	0	-0.346573590279973	0	0	0	0	0	0	0	0.346573590279973	0	0	0
Metazoa	Gruidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Holocentridae	0	0	0	0	0	0	0	-0.243279064864899	0	0.855333223803211	0	0	0.162186043243266	-0.936426245424844	0.162186043243266
Metazoa	Apogonidae	0	0.530037309355648	0	0	0	0	-1.26172215987241	-0.163109871204298	0	1.22318448991559	0.684187989182906	0.124572201247483	0	0.124572201247483	-1.26172215987241
Metazoa	Labridae	-2.38503687116114	-0.392606706470937	-2.79050197926931	-1.28642458249303	-0.844591830213995	-0.844591830213995	0.366498441880805	0.127268752814971	-1.87421124739515	2.85494491837393	1.98862151384222	0.467594558752174	2.19310464243903	1.89624819371121	0.523684025403218
Metazoa	Myxinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Mormyridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Osteoglossidae	0	-0.414151108298	-0.414151108298	-0.414151108298	0	0	0	0	0	0	0.972143252821891	0	-0.414151108298	0.68446118037011	0
Metazoa	Paridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Lateolabracidae	-1.05244986302051	0.200313105474853	0	-1.74559704358046	0	-1.74559704358046	-1.05244986302051	-0.64698475491235	-1.74559704358046	1.89198911614593	1.29892539414296	0.45162753375576	2.06106544618986	1.75091051788602	0.333844498099376
Metazoa	Bovichtidae	0	0	0	0	-1.25406896357704	-0.337778231702884	-0.560921783017094	-0.0013059950816714	0	0.132225397542851	-0.0013059950816714	-0.848603855468875	1.48677106034816	1.38498836603822	0
Metazoa	Gasterosteidae	0	0	-1.01395546039123	0	-1.70710264095118	0	0	-0.320808279831287	0.238807508104135	0	-0.0976647285170775	0.595482452042868	1.0654860812886	0.238807508104135	1.00094756015103
Metazoa	Percidae	0	0	0	0	0	0	0	0	0	-0.214979152410159	0.701311579463996	-0.50266122486194	0.00816439890405074	0.00816439890405074	0
Metazoa	Serranidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Equidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Cynoglossidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Paralichthyidae	0	0	0	0	0	-0.33043895999558	0	-1.02358614055553	-1.02358614055553	2.37761124110663	0	0	0	0	0
Metazoa	Pleuronectidae	0	0	0	0	0	0	0	-0.549306144334055	0	0	0	0	0	0.549306144334055	0
Metazoa	Scophthalmidae	0	0	0	-0.393834337895949	0	0	0	-0.393834337895949	0	0.299312842663996	0.858928630599419	-0.393834337895949	0.0116307702122156	0.0116307702122156	0
Metazoa	Soleidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Polypteridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Cebidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
