taxids	mrca
2055422;2055529	107942
208693;208694	1725412
2101601;2102341;2105811	1691144
2105;108818	2093
210;585535	210
2105;880447	2105
210712;210713	2626047
212663;677320;677351;677396;677411;677434;677494;677631;677632;677633;677634;677637;677638;677640;677643;677657;677761;677762;677763;677764;677765;677766;677767;677768;677769;677770;677771;677772;677773;677774;677775;677776;677777;677778;677825;677848;677903;677912;677963;677983;678041;678066;678082;678111;678153;678161;678191;678198;678201;678256;678320;678344;678494	662
212944;1138338	3990
213;537971	213
213810;1161942	1161942
214228;1075058	13382
214932;221359	2626047
214932;221363	2626047
214972;1499105	51102
215801;285041	2637987
216596;347834	379
216939;1276224	216939
219581;223818	55193
221336;1050714	2626047
221350;221351;221353;221355	2626047
2231216;2231217	2638140
223151;291251	74490
2231783;2231784	2631636
223283;264730	136849
2248430;2248438;2248440;2248604	2625679
225164;400682	33208
225338;985895	220671
225805;225807	225804
228686;588810	5140
229276;229277	2638060
230987;230991;230995	279888
231055;1147122	231054
2317;339860	2317
2322333;2322334;2322336	1251154
2322578;2322579	2634699
2324277;2324278	329961
2325405;2325417	2685694
2329711;2329713;2329721	494909
233164;1902828	233163
235270;235271	232080
235275;235277	53409
237471;482556	2944
238673;238674	85620
238694;300314	206111
239943;239944;239945;239946;239947	2638060
240362;310453;856830	407951
242619;431947	837
243090;265606	265606
243274;688269	188709
24;365590	22
244299;291167	35158
244470;244471	13015
245478;245480	245473
247815;247816;247817;247861	2750818
247860;247862	2750818
2492182;2492185	2629062
2492187;2492188	2629062
2495947;2495951	2671793
254346;554065	75966
2548038;2548040	196894
255250;255251	2626047
255261;255262	2593658
255451;380023;380029;411032;411035;411036	196821
2559165;2559166;2559167	146831
256004;264121	6078
257226;257240	49928
257438;1231357	257438
257470;512294	48461
2576542;2576543	2639266
2576552;2576554	558772
257730;1507132	7422
258022;2561917	2891
259829;259830;259833	29203
259830;259831	29203
259834;1365472	1365474
261043;380580	105234
261456;377605;2558453	293275
261662;503418	252141
262969;262970	2629889
264392;1586188	2020849
264463;344338	1239
265278;265285;312059;312092	2306081
265279;312040;312041;312049;312056	2306081
265524;281058	265524
265549;265559	50949
266037;266038	2649934
266110;334144	31317
266805;359680	48073
266818;266820	2643513
267566;866872;866875;866876;866885	1171708
267567;1514174	33847
267567;267982;1514174	33847
267949;267951	1176
268820;268821	1691972
268821;1400434;1400435	1691972
270387;329168	270387
272559;295405;457392;997878;997879;1263046	816
272622;416870;746361;1104322;1111678	1359
272943;317655;349101;349102	28211
272943;349101;557760;992186;1247725	31989
273095;273100	40596
274;562	2
274;562;262724;300852	2
274;562;300852	2
2785;2788	1094566
2786;139732	2784
278769;280587	27322
279761;522327	52989
28037;888048;889201	1301
280463;1841481	2759
280486;926292	280485
280860;280868	2642494
281028;563767	136419
281088;378175	2593666
28137;732236	838
28174;55601	662
281787;281788	2626738
2822;157919	2822
282420;282421;282422;282423;282437;282438;282439;282442;329571;338368;498544;498545;498555;498569;498570;498571;498572;498574;498575;498577;498580;498581;1189340;1189341;1189343;1189344;1189345;1189346;1189347;1189348;1189349;1189350;1189351;1189352;1189353;1189354;1189355;1189356;1189357;1189358;1189359;1189360;1189361;1189362;1189363;1189364;1189367;1189368;1189369;1189370;1189371;1189372;1189373;1189374;1189375;1189376;1189377;1189378;1189379;1189381;1189382;1189385;1189388;1189390;1189391;1189392;1189393;1189394;1189395;1189396;1189398;1189399;1189401;1189402;1189404;1189405;1189408;1189409;1189410;1189411;1189412;1189414;1189415;1189416;1189419;1189420;1189421;1189422;1189424;1189425;1189426;1189429;1189430;1189434;1189435;1189436;1189438;1189440;1189442;1189443;1189446;1189452;1189455;1189456;1189458;1189462;1189463;1189464;1189465;1189466;1189471;1189473;1189474;1189476;1189477;1189478;1189479;1189480;1189483;1189488;1189489;1189490;1189491;1189492;1189493;1189494;1189496;1189497;1189498;1189499;1189500;1189501;1189502;1189503;1189505;1189506;1189507;1189508;1189513;1189521;1189531;1189558;1189559;1189561;1189562;1189563;1189564;1189565;1189566;1189567;1189569;1189570;1189571;1189573;1189574;1189575;1189576;1311646;1311648;1311649;1311651;1311652;1311653;1311655;1311657;1311658;1311659;1311660;1311661;1311663;1311664;1311665;1311667;1311668;1311669;1311670;1311671;1311672;1311674;1311675;1311676;1311677;1311679;1311680;1311681;1311682;1311683;1311684;1311685;1311686;1311687;1311688;1311689;1311690;1311691;1311692;1311693;1311694;1311695;1311696;1311698;1311699;1311700;1311701;1311703;1311704;1311705;1311706;1311707;1311708;1311709;1311711;1311712;1311713;1311714;1311715;1311716;1311717;1311718;1311719;1311720;1311722;1311723;1311724;1311725;1311726;1311727;1311729;1311730;1311731;1311732;1311733;1311734;1311735;1311736;1311737;1311738;1311739;1311740;1311741;1311742;1311743;1311744;1311745;1311746;1311747;1311748;1311749;1311750;1311751;1311752;1311753;1311754;1311755;1311756	54304
28280;130308	130308
283010;299392;299394	4783
283649;1123954	1123954
2843;267567	2842
28448;940283	1434011
284630;284631	257649
284676;284681	1445877
284677;284682	1445877
284693;284726;284727;284729	2647170
284798;284799;284802	2644498
285;1111078	285
2856;1655539	2836
28567;1131646	5042
28572;861550	5094
287;40324	1236
288900;314542;314543	279888
28901;59203	28901
289605;290088	4782
28976;99816	25607
28978;28982;99812;160790	3367
2903;1841481	2759
2903;1856765;1856766	418966
2903;280463	2903
2903;38817	418966
290400;375451;398580	31989
29058;55057	7100
290808;350692;350693;350694;350695	2613784
290817;350697;388086;795756;795760;795774;795775;795780;795782;866814;866817;866819;866820;866821;866823;866824;866828;1630552;1630556;1630557;1630567;1630568;1630579;1630582;1630584;1630585;1630586	2640874
29176;572307	29176
2925;2926;2935;39453;191036;671319;671320;671322;686664	2924
2925;2926;39453	2924
2926;1126607	2924
2926;2932	2924
2926;2945;235267;439205;549692	2864
292800;649753	292800
29281;360837	1783275
29281;550570	48509
29313;36812	1763
2935;39453;39455	2924
293613;293614;315456;392021;416276;452659	780
293613;315456;392021;416276;452659	780
29410;1050634;1050640;1050642	2626047
294185;1326884	1107380
29421;393262	911
29424;39962	445
294;333;47878	286
294381;885313	5759
294;47878	136843
